YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(months),Gender,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2010,2010,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,16.3,16.3,,,15.8,16.8,23112,,,Male,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Gender,Male,GEN,MALE
2010,2010,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,15.8,15.8,,,15.3,16.2,22641,,,Female,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Gender,Female,GEN,FEMALE
2010,2010,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,15.5,15.5,,,15.0,16.0,19294,,24 - 35,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Age (months),24 - 35,AGEMO,AGEMO2435
2010,2010,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,16.3,16.3,,,15.8,16.9,15940,,36 - 47,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Age (months),36 - 47,AGEMO,AGEMO3647
2010,2010,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,16.5,16.5,,,15.8,17.2,10519,,48 - 59,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Age (months),48 - 59,AGEMO,AGEMO4859
2010,2010,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,16.3,16.3,,,15.8,16.9,17965,,,,Non-Hispanic White,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2010,2010,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,14.3,14.3,,,13.8,14.8,19414,,,,Non-Hispanic Black,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2010,2010,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,19.9,19.9,,,19.1,20.8,7786,,,,Hispanic,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Race/Ethnicity,Hispanic,RACE,RACEHIS
2010,2010,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,12.0,12.0,,,8.4,15.7,308,,,,American Indian/Alaska Native,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2010,2010,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,15.4,15.4,,,11.1,19.6,280,,,,Asian/Pacific Islander,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Race/Ethnicity,Asian/Pacific Islander,RACE,RACEAPI
2012,2012,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,16.0,16.0,,,15.7,16.3,45787,Total,,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Total,Total,OVR,OVERALL
2012,2012,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,16.0,16.0,,,15.5,16.5,23174,,,Male,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Gender,Male,GEN,MALE
2012,2012,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,16.0,16.0,,,15.5,16.5,22613,,,Female,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Gender,Female,GEN,FEMALE
2012,2012,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,15.7,15.7,,,15.2,16.2,18045,,24 - 35,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Age (months),24 - 35,AGEMO,AGEMO2435
2012,2012,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,15.8,15.8,,,15.2,16.4,16118,,36 - 47,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Age (months),36 - 47,AGEMO,AGEMO3647
2012,2012,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,16.8,16.8,,,16.1,17.5,11624,,48 - 59,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Age (months),48 - 59,AGEMO,AGEMO4859
2012,2012,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,16.3,16.3,,,15.8,16.9,17974,,,,Non-Hispanic White,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2012,2012,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,14.3,14.3,,,13.8,14.8,19694,,,,Non-Hispanic Black,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2012,2012,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,19.9,19.9,,,18.9,20.8,7449,,,,Hispanic,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Race/Ethnicity,Hispanic,RACE,RACEHIS
2012,2012,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,16.9,16.9,,,13.1,20.8,360,,,,American Indian/Alaska Native,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2012,2012,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,13.2,13.2,,,9.4,17.0,310,,,,Asian/Pacific Islander,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Race/Ethnicity,Asian/Pacific Islander,RACE,RACEAPI
2008,2008,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,,Value,13.2,13.2,,,12.7,13.7,18219,,24 - 35,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q041,VALUE,01,Age (months),24 - 35,AGEMO,AGEMO2435
2014,2014,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,16.0,16.0,,,15.5,16.6,17424,,24 - 35,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Age (months),24 - 35,AGEMO,AGEMO2435
2014,2014,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,16.3,16.3,,,15.7,16.9,14912,,36 - 47,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Age (months),36 - 47,AGEMO,AGEMO3647
2014,2014,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,17.6,17.6,,,16.9,18.3,11173,,48 - 59,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Age (months),48 - 59,AGEMO,AGEMO4859
2014,2014,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,16.5,16.5,,,16.0,17.0,21494,,,Female,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Gender,Female,GEN,FEMALE
2014,2014,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,16.6,16.6,,,16.1,17.1,22015,,,Male,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Gender,Male,GEN,MALE
2014,2014,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,16.5,16.5,,,16.2,16.9,43509,Total,,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Total,Total,OVR,OVERALL
2014,2014,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,11.5,11.5,,,7.8,15.2,288,,,,Asian/Pacific Islander,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Race/Ethnicity,Asian/Pacific Islander,RACE,RACEAPI
2014,2014,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,14.6,14.6,,,11.1,18.2,383,,,,American Indian/Alaska Native,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2014,2014,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,15.0,15.0,,,14.5,15.5,18004,,,,Non-Hispanic Black,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2014,2014,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,16.6,16.6,,,16.1,17.2,17581,,,,Non-Hispanic White,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2014,2014,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,Value,20.3,20.3,,,19.4,21.3,7253,,,,Hispanic,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q040,VALUE,01,Race/Ethnicity,Hispanic,RACE,RACEHIS
2010,2010,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,,Value,14.0,14.0,,,13.5,14.5,19294,,24 - 35,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q041,VALUE,01,Age (months),24 - 35,AGEMO,AGEMO2435
2010,2010,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,,Value,16.2,16.2,,,15.7,16.8,15940,,36 - 47,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q041,VALUE,01,Age (months),36 - 47,AGEMO,AGEMO3647
2010,2010,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,,Value,18.7,18.7,,,17.9,19.4,10519,,48 - 59,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q041,VALUE,01,Age (months),48 - 59,AGEMO,AGEMO4859
2008,2008,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,,Value,14.9,14.9,,,14.5,15.2,43287,Total,,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q041,VALUE,01,Total,Total,OVR,OVERALL
2008,2008,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,,Value,16.0,16.0,,,15.5,16.5,21912,,,Male,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q041,VALUE,01,Gender,Male,GEN,MALE
2008,2008,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,,Value,13.7,13.7,,,13.3,14.2,21375,,,Female,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q041,VALUE,01,Gender,Female,GEN,FEMALE
2008,2008,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,,Value,15.8,15.8,,,15.2,16.4,14796,,36 - 47,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q041,VALUE,01,Age (months),36 - 47,AGEMO,AGEMO3647
2008,2008,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,,Value,16.5,16.5,,,15.8,17.2,10272,,48 - 59,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q041,VALUE,01,Age (months),48 - 59,AGEMO,AGEMO4859
2008,2008,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,,Value,14.0,14.0,,,13.5,14.6,17833,,,,Non-Hispanic White,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q041,VALUE,01,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2008,2008,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,,Value,12.7,12.7,,,12.2,13.1,19170,,,,Non-Hispanic Black,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q041,VALUE,01,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2008,2008,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,,Value,25.0,25.0,,,23.8,26.1,5731,,,,Hispanic,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q041,VALUE,01,Race/Ethnicity,Hispanic,RACE,RACEHIS
2008,2008,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,,Value,14.0,14.0,,,9.5,18.6,228,,,,American Indian/Alaska Native,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q041,VALUE,01,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2008,2008,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,,Value,12.5,12.5,,,8.5,16.4,273,,,,Asian/Pacific Islander,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q041,VALUE,01,Race/Ethnicity,Asian/Pacific Islander,RACE,RACEAPI
2010,2010,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,,Value,15.8,15.8,,,15.5,16.2,45753,Total,,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q041,VALUE,01,Total,Total,OVR,OVERALL
2010,2010,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,,Value,16.7,16.7,,,16.2,17.2,23112,,,Male,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q041,VALUE,01,Gender,Male,GEN,MALE
2010,2010,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,,Value,15.0,15.0,,,14.5,15.4,22641,,,Female,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q041,VALUE,01,Gender,Female,GEN,FEMALE
2010,2010,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,,Value,14.7,14.7,,,14.2,15.2,17965,,,,Non-Hispanic White,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q041,VALUE,01,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2010,2010,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,,Value,13.4,13.4,,,12.9,13.9,19414,,,,Non-Hispanic Black,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q041,VALUE,01,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2010,2010,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,,Value,24.6,24.6,,,23.6,25.5,7786,,,,Hispanic,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q041,VALUE,01,Race/Ethnicity,Hispanic,RACE,RACEHIS
2010,2010,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,,Value,15.9,15.9,,,11.8,20.0,308,,,,American Indian/Alaska Native,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q041,VALUE,01,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2010,2010,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,,Value,14.3,14.3,,,10.2,18.4,280,,,,Asian/Pacific Islander,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q041,VALUE,01,Race/Ethnicity,Asian/Pacific Islander,RACE,RACEAPI
2012,2012,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,,Value,15.6,15.6,,,15.3,16.0,45787,Total,,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q041,VALUE,01,Total,Total,OVR,OVERALL
2012,2012,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,,Value,16.4,16.4,,,15.9,16.9,23174,,,Male,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q041,VALUE,01,Gender,Male,GEN,MALE
2012,2012,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,,Value,14.9,14.9,,,14.4,15.3,22613,,,Female,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q041,VALUE,01,Gender,Female,GEN,FEMALE
2012,2012,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,,Value,13.6,13.6,,,13.1,14.1,18045,,24 - 35,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q041,VALUE,01,Age (months),24 - 35,AGEMO,AGEMO2435
2012,2012,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,,Value,16.1,16.1,,,15.5,16.7,16118,,36 - 47,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q041,VALUE,01,Age (months),36 - 47,AGEMO,AGEMO3647
2012,2012,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,,Value,18.2,18.2,,,17.5,18.9,11624,,48 - 59,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q041,VALUE,01,Age (months),48 - 59,AGEMO,AGEMO4859
2012,2012,AL,Alabama,"Women, Infants, and Children Participant and Program Characteristics",Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,,Value,14.7,14.7,,,14.2,15.2,17974,,,,Non-Hispanic White,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q041,VALUE,01,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
